# the columns in this file are the result of a linear regression model
# the columns include
# year: year of manufacture
# transistor_count: number of transistors reported by manufacturers in a given year
# transistor_count_predicted: linear regression model = exp(-666.33)*exp(0.34*year)
# transistor_Moores_law: Moores law =exp(-675.38)*exp(0.35*year)
# year:, transistor_count:, transistor_count_predicted:, transistor_Moores_law:
1.989000000000000000e+03,6.000000000000000000e+05,5.295621735824813368e+05,1.152000000000041910e+06
1.989000000000000000e+03,1.000000000000000000e+06,5.295621735824813368e+05,1.152000000000041910e+06
1.989000000000000000e+03,1.180235000000000000e+06,5.295621735824813368e+05,1.152000000000041910e+06
1.989000000000000000e+03,3.100000000000000000e+05,5.295621735824813368e+05,1.152000000000041910e+06
1.990000000000000000e+03,1.200000000000000000e+06,7.452223722825756995e+05,1.629174023853820050e+06
1.991000000000000000e+03,1.350000000000000000e+06,1.048708559362333268e+06,2.303999999999957159e+06
1.991000000000000000e+03,3.500000000000000000e+04,1.048708559362333268e+06,2.303999999999957159e+06
1.992000000000000000e+03,6.000000000000000000e+05,1.475787205785602564e+06,3.258348047707461286e+06
1.992000000000000000e+03,9.000000000000000000e+05,1.475787205785602564e+06,3.258348047707461286e+06
1.992000000000000000e+03,1.680000000000000000e+06,1.475787205785602564e+06,3.258348047707461286e+06
1.993000000000000000e+03,2.800000000000000000e+06,2.076790407894426724e+06,4.608000000000185333e+06
1.993000000000000000e+03,3.100000000000000000e+06,2.076790407894426724e+06,4.608000000000185333e+06
1.994000000000000000e+03,5.789770000000000000e+05,2.922547628420682624e+06,6.516696095415305346e+06
1.994000000000000000e+03,7.000000000000000000e+03,2.922547628420682624e+06,6.516696095415305346e+06
1.994000000000000000e+03,2.500000000000000000e+06,2.922547628420682624e+06,6.516696095415305346e+06
1.995000000000000000e+03,2.500000000000000000e+06,4.112733094259144738e+06,9.215999999999864027e+06
1.995000000000000000e+03,5.500000000000000000e+06,4.112733094259144738e+06,9.215999999999864027e+06
1.996000000000000000e+03,4.300000000000000000e+06,5.787612608987616375e+06,1.303339219082989357e+07
1.997000000000000000e+03,1.000000000000000000e+07,8.144574166135232896e+06,1.843200000000081211e+07
1.997000000000000000e+03,7.500000000000000000e+06,8.144574166135232896e+06,1.843200000000081211e+07
1.997000000000000000e+03,8.800000000000000000e+06,8.144574166135232896e+06,1.843200000000081211e+07
1.997000000000000000e+03,1.500000000000000000e+04,8.144574166135232896e+06,1.843200000000081211e+07
1.998000000000000000e+03,7.500000000000000000e+06,1.146139052995130233e+07,2.606678438166131452e+07
1.999000000000000000e+03,1.110000000000000000e+05,1.612895532663459331e+07,3.686399999999959022e+07
1.999000000000000000e+03,9.500000000000000000e+06,1.612895532663459331e+07,3.686399999999959022e+07
1.999000000000000000e+03,1.350000000000000000e+07,1.612895532663459331e+07,3.686399999999959022e+07
1.999000000000000000e+03,2.740000000000000000e+07,1.612895532663459331e+07,3.686399999999959022e+07
1.999000000000000000e+03,2.130000000000000000e+07,1.612895532663459331e+07,3.686399999999959022e+07
1.999000000000000000e+03,2.200000000000000000e+07,1.612895532663459331e+07,3.686399999999959022e+07
2.000000000000000000e+03,2.100000000000000000e+07,2.269735066166354716e+07,5.213356876331976801e+07
2.000000000000000000e+03,2.100000000000000000e+07,2.269735066166354716e+07,5.213356876331976801e+07
2.000000000000000000e+03,4.200000000000000000e+07,2.269735066166354716e+07,5.213356876331976801e+07
2.001000000000000000e+03,1.910000000000000000e+08,3.194067542662545294e+07,7.372800000000350177e+07
2.001000000000000000e+03,4.500000000000000000e+07,3.194067542662545294e+07,7.372800000000350177e+07
2.002000000000000000e+03,5.500000000000000000e+07,4.494827444473844022e+07,1.042671375266456604e+08
2.002000000000000000e+03,2.200000000000000000e+08,4.494827444473844022e+07,1.042671375266456604e+08
2.003000000000000000e+03,1.520000000000000000e+08,6.325311999743700027e+07,1.474559999999989271e+08
2.003000000000000000e+03,5.430000000000000000e+07,6.325311999743700027e+07,1.474559999999989271e+08
2.003000000000000000e+03,1.059000000000000000e+08,6.325311999743700027e+07,1.474559999999989271e+08
2.003000000000000000e+03,4.100000000000000000e+08,6.325311999743700027e+07,1.474559999999989271e+08
2.004000000000000000e+03,1.120000000000000000e+08,8.901247575875540078e+07,2.085342750532798469e+08
2.004000000000000000e+03,4.000000000000000000e+08,8.901247575875540078e+07,2.085342750532798469e+08
2.004000000000000000e+03,5.920000000000000000e+08,8.901247575875540078e+07,2.085342750532798469e+08
2.005000000000000000e+03,1.690000000000000000e+08,1.252621347535752058e+08,2.949120000000151396e+08
2.005000000000000000e+03,2.280000000000000000e+08,1.252621347535752058e+08,2.949120000000151396e+08
2.005000000000000000e+03,1.650000000000000000e+08,1.252621347535752058e+08,2.949120000000151396e+08
2.005000000000000000e+03,2.500000000000000000e+08,1.252621347535752058e+08,2.949120000000151396e+08
2.006000000000000000e+03,1.840000000000000000e+08,1.762741938056866527e+08,4.170685501065841317e+08
2.006000000000000000e+03,3.620000000000000000e+08,1.762741938056866527e+08,4.170685501065841317e+08
2.006000000000000000e+03,2.910000000000000000e+08,1.762741938056866527e+08,4.170685501065841317e+08
2.006000000000000000e+03,1.700000000000000000e+09,1.762741938056866527e+08,4.170685501065841317e+08
2.007000000000000000e+03,4.630000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,2.600000000000000000e+07,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,4.110000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,7.890000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,1.690000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,2.500000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.007000000000000000e+03,5.400000000000000000e+08,2.480605289297762811e+08,5.898239999999978542e+08
2.008000000000000000e+03,2.300000000000000000e+08,3.490813072771816850e+08,8.341371002131224871e+08
2.008000000000000000e+03,7.310000000000000000e+08,3.490813072771816850e+08,8.341371002131224871e+08
2.008000000000000000e+03,7.580000000000000000e+08,3.490813072771816850e+08,8.341371002131224871e+08
2.008000000000000000e+03,4.700000000000000000e+07,3.490813072771816850e+08,8.341371002131224871e+08
2.008000000000000000e+03,6.000000000000000000e+08,3.490813072771816850e+08,8.341371002131224871e+08
2.008000000000000000e+03,1.900000000000000000e+09,3.490813072771816850e+08,8.341371002131224871e+08
2.009000000000000000e+03,9.040000000000000000e+08,4.912420352245680094e+08,1.179648000000065088e+09
2.009000000000000000e+03,7.600000000000000000e+08,4.912420352245680094e+08,1.179648000000065088e+09
2.010000000000000000e+03,1.000000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.010000000000000000e+03,1.170000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.010000000000000000e+03,1.200000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.010000000000000000e+03,1.400000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.010000000000000000e+03,2.000000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.010000000000000000e+03,2.300000000000000000e+09,6.912966467722116709e+08,1.668274200426342964e+09
2.011000000000000000e+03,1.870000000000000000e+09,9.728219891036791801e+08,2.359296000000000477e+09
2.011000000000000000e+03,1.160000000000000000e+09,9.728219891036791801e+08,2.359296000000000477e+09
2.011000000000000000e+03,2.270000000000000000e+09,9.728219891036791801e+08,2.359296000000000477e+09
2.011000000000000000e+03,2.600000000000000000e+09,9.728219891036791801e+08,2.359296000000000477e+09
2.012000000000000000e+03,4.320000000000000000e+08,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,2.990000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,1.200000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,1.303000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,1.400000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,2.100000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,2.750000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,3.100000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.012000000000000000e+03,5.000000000000000000e+09,1.368996402488670588e+09,3.336548400852502346e+09
2.013000000000000000e+03,1.000000000000000000e+09,1.926509855881951332e+09,4.718592000000277519e+09
2.013000000000000000e+03,1.860000000000000000e+09,1.926509855881951332e+09,4.718592000000277519e+09
2.013000000000000000e+03,4.200000000000000000e+09,1.926509855881951332e+09,4.718592000000277519e+09
2.013000000000000000e+03,5.000000000000000000e+09,1.926509855881951332e+09,4.718592000000277519e+09
2.014000000000000000e+03,1.400000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.014000000000000000e+03,2.000000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.014000000000000000e+03,2.600000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.014000000000000000e+03,3.000000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.014000000000000000e+03,4.310000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.014000000000000000e+03,5.560000000000000000e+09,2.711066455736001015e+09,6.673096801705395699e+09
2.015000000000000000e+03,1.750000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,1.900000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,2.000000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,2.000000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,3.000000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,3.990000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,7.100000000000000000e+09,3.815127810001370430e+09,9.437184000000036240e+09
2.015000000000000000e+03,1.000000000000000000e+10,3.815127810001370430e+09,9.437184000000036240e+09
2.016000000000000000e+03,3.000000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.016000000000000000e+03,3.200000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.016000000000000000e+03,3.300000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.016000000000000000e+03,4.000000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.016000000000000000e+03,7.200000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.016000000000000000e+03,8.000000000000000000e+09,5.368809818678679466e+09,1.334619360341005898e+10
2.017000000000000000e+03,5.300000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,5.300000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,4.300000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,4.800000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,4.800000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,4.800000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,6.100000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,9.700000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,5.500000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,7.000000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,8.000000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,2.500000000000000000e+08,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,5.450000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,4.300000000000000000e+09,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,1.800000000000000000e+10,7.555217100087202072e+09,1.887436800000117874e+10
2.017000000000000000e+03,1.920000000000000000e+10,7.555217100087202072e+09,1.887436800000117874e+10
2.018000000000000000e+03,8.500000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.018000000000000000e+03,6.900000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.018000000000000000e+03,6.900000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.019000000000000000e+03,1.030000000000000000e+10,1.496183306881915283e+10,3.774873600000028229e+10
2.019000000000000000e+03,8.000000000000000000e+09,1.496183306881915283e+10,3.774873600000028229e+10
2.018000000000000000e+03,5.500000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.018000000000000000e+03,1.000000000000000000e+10,1.063202224650572395e+10,2.669238720682168579e+10
2.019000000000000000e+03,8.500000000000000000e+09,1.496183306881915283e+10,3.774873600000028229e+10
2.018000000000000000e+03,8.786000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.018000000000000000e+03,9.000000000000000000e+09,1.063202224650572395e+10,2.669238720682168579e+10
2.019000000000000000e+03,5.990000000000000000e+09,1.496183306881915283e+10,3.774873600000028229e+10
2.019000000000000000e+03,9.890000000000000000e+09,1.496183306881915283e+10,3.774873600000028229e+10
2.019000000000000000e+03,3.954000000000000000e+10,1.496183306881915283e+10,3.774873600000028229e+10
2.019000000000000000e+03,3.000000000000000000e+10,1.496183306881915283e+10,3.774873600000028229e+10
